data,roll(fi) angle,pitch(theta) angle
1970-01-01 12:12:21,-178.7166,-1.5746
1970-01-01 12:12:31,-178.7308,-1.3265
1970-01-01 12:12:41,-178.8496,-1.4376
1970-01-01 12:12:51,-178.7921,-1.38
1970-01-01 12:13:01,-178.6745,-1.4404
1970-01-01 12:13:11,-178.433,-1.5084
1970-01-01 12:13:21,-178.7244,-1.2173
1970-01-01 12:13:31,-179.0162,-1.3307
1970-01-01 12:13:41,-178.8508,-1.4935
1970-01-01 12:13:51,-178.9005,-1.4463
1970-01-01 12:14:01,-178.7244,-1.4491
1970-01-01 12:14:11,-178.8356,-1.6296
1970-01-01 12:14:21,-178.9082,-1.9528
1970-01-01 12:14:31,-179.0231,-1.3213
1970-01-01 12:14:41,-178.952,-1.3969
1970-01-01 12:14:51,-178.4378,-1.3304
1970-01-01 12:15:01,-178.6569,-1.3427
1970-01-01 12:15:11,-178.8392,-1.4507
1970-01-01 12:15:21,-178.9005,-1.5041
1970-01-01 12:15:31,-178.838,-1.1618
1970-01-01 12:15:41,-178.727,-1.2727
1970-01-01 12:15:51,-178.7179,-1.573
1970-01-01 12:16:01,-179.0806,-1.0916
1970-01-01 12:16:11,-179.0162,-1.562
1970-01-01 12:16:21,-178.7824,-1.8547
1970-01-01 12:16:31,-178.4346,-1.5069
1970-01-01 12:16:41,-178.6651,-1.3926
1970-01-01 12:16:51,-179.0202,-1.4405
1970-01-01 12:17:01,-178.786,-1.4448
1970-01-01 12:17:11,-178.8415,-1.5635
1970-01-01 12:17:21,-178.6028,-1.3386
1970-01-01 12:17:31,-178.7321,-1.498
1970-01-01 12:17:41,-178.9005,-1.6198
1970-01-01 12:17:51,-179.1363,-1.5542
1970-01-01 12:18:01,-178.7921,-1.6674
1970-01-01 12:18:11,-178.4818,-1.4593
1970-01-01 12:18:21,-178.7774,-1.1641
1970-01-01 12:18:31,-178.8438,-1.5603
1970-01-01 12:18:41,-178.906,-1.6692
1970-01-01 12:18:51,-178.786,-1.3292
1970-01-01 12:19:01,-178.549,-1.5665
1970-01-01 12:19:11,-178.6042,-1.4535
1970-01-01 12:19:21,-178.7811,-1.3926
1970-01-01 12:19:31,-179.0172,-1.2716
1970-01-01 12:19:41,-178.8983,-1.3913
1970-01-01 12:19:51,-178.661,-1.7458
1970-01-01 12:20:01,-178.9005,-1.4463
1970-01-01 12:20:11,-178.7921,-1.4375
1970-01-01 12:20:21,-178.9667,-1.6642
1970-01-01 12:20:31,-178.3734,-1.5099
1970-01-01 12:20:41,-178.7811,-1.2186
1970-01-01 12:20:51,-178.8972,-1.4507
1970-01-01 12:21:01,-178.8403,-1.4492
1970-01-01 12:21:11,-178.9038,-1.2113
1970-01-01 12:21:21,-178.6651,-1.2766
1970-01-01 12:21:31,-178.7295,-1.4433
1970-01-01 12:21:41,-178.5476,-1.5681
1970-01-01 12:21:51,-178.7787,-1.3373
1970-01-01 12:22:01,-178.7372,-1.7214
1970-01-01 12:22:11,-178.8344,-1.7477
1970-01-01 12:22:21,-178.6678,-1.7949
1970-01-01 12:22:31,-178.6113,-1.3305
1970-01-01 12:22:41,-178.7346,-1.38
1970-01-01 12:22:51,-178.9678,-1.4333
1970-01-01 12:23:01,-178.6624,-1.6278
1970-01-01 12:23:11,-178.488,-1.3953
1970-01-01 12:23:21,-178.9552,-1.3927
1970-01-01 12:23:31,-179.0172,-1.3293
1970-01-01 12:23:41,-178.7836,-1.3319
1970-01-01 12:23:51,-178.6057,-1.3359
1970-01-01 12:24:01,-178.6624,-1.6278
1970-01-01 12:24:11,-178.7897,-1.498
1970-01-01 12:24:21,-178.7321,-1.4404
1970-01-01 12:24:31,-178.8485,-1.5541
1970-01-01 12:24:41,-178.786,-1.7336
1970-01-01 12:24:51,-178.6028,-1.7458
1970-01-01 12:25:01,-178.838,-1.2779
1970-01-01 12:25:11,-179.1947,-1.3227
1970-01-01 12:25:21,-178.9071,-1.4376
1970-01-01 12:25:31,-178.8392,-1.5087
1970-01-01 12:25:41,-178.4956,-1.7351
1970-01-01 12:25:51,-178.6071,-1.3925
1970-01-01 12:26:01,-178.9678,-1.3187
1970-01-01 12:26:11,-178.8462,-1.4995
1970-01-01 12:26:21,-178.8427,-1.3306
1970-01-01 12:26:31,-178.7218,-1.2779
1970-01-01 12:26:41,-178.7749,-1.458
1970-01-01 12:26:51,-179.0222,-1.5526
1970-01-01 12:27:01,-178.9049,-1.3829
1970-01-01 12:27:11,-178.6771,-1.38
1970-01-01 12:27:21,-178.6705,-1.3869
1970-01-01 12:27:31,-178.7179,-1.6312
1970-01-01 12:27:41,-179.1931,-1.671
1970-01-01 12:27:51,-178.6718,-1.1547
1970-01-01 12:28:01,-178.6651,-1.5086
1970-01-01 12:28:11,-178.6042,-1.3953
1970-01-01 12:28:21,-178.7909,-1.3814
1970-01-01 12:28:31,-179.138,-1.4362
1970-01-01 12:28:41,-178.7799,-1.5101
1970-01-01 12:28:51,-178.5665,-1.7768
1970-01-01 12:29:01,-178.6028,-1.6876
1970-01-01 12:29:11,-178.9005,-1.3306
1970-01-01 12:29:21,-178.8994,-1.2162
1970-01-01 12:29:31,-179.0162,-1.4463
1970-01-01 12:29:41,-178.9038,-1.5572
1970-01-01 12:29:51,-178.5985,-1.4594
1970-01-01 12:30:01,-178.7346,-1.2651
1970-01-01 12:30:11,-178.7885,-1.2112
1970-01-01 12:30:21,-178.9646,-1.4951
1970-01-01 12:30:31,-178.6664,-1.6229
1970-01-01 12:30:41,-178.6597,-1.4565
1970-01-01 12:30:51,-178.8392,-1.3346
1970-01-01 12:31:01,-178.9563,-1.3333
1970-01-01 12:31:11,-178.8994,-1.5056
1970-01-01 12:31:21,-178.5461,-1.3372
1970-01-01 12:31:31,-178.7218,-1.394
1970-01-01 12:31:41,-178.9093,-1.6068
1970-01-01 12:31:51,-178.7283,-1.3292
1970-01-01 12:32:01,-178.8972,-1.5087
1970-01-01 12:32:11,-178.8368,-1.5117
1970-01-01 12:32:21,-178.8983,-1.623
1970-01-01 12:32:31,-179.1882,-1.4493
1970-01-01 12:32:41,-178.8485,-1.5541
1970-01-01 12:32:51,-178.9573,-1.2741
1970-01-01 12:33:01,-178.4941,-1.216
1970-01-01 12:33:11,-178.6651,-1.6245
1970-01-01 12:33:21,-178.9027,-1.4434
1970-01-01 12:33:31,-178.7321,-1.498
1970-01-01 12:33:41,-178.5017,-1.4978
1970-01-01 12:33:51,-178.6042,-1.5697
1970-01-01 12:34:01,-178.9488,-1.5179
1970-01-01 12:34:11,-178.7811,-1.6246
1970-01-01 12:34:21,-178.8508,-1.7232
1970-01-01 12:34:31,-178.9646,-1.61
1970-01-01 12:34:41,-178.549,-1.4505
1970-01-01 12:34:51,-178.8368,-1.5698
1970-01-01 12:35:01,-178.7127,-1.4624
1970-01-01 12:35:11,-179.1931,-1.9013
1970-01-01 12:35:21,-178.6691,-1.7352
1970-01-01 12:35:31,-178.5607,-1.3238
1970-01-01 12:35:41,-178.6127,-1.2136
1970-01-01 12:35:51,-178.9038,-1.3266
1970-01-01 12:36:01,-178.9657,-1.551
1970-01-01 12:36:11,-178.8344,-1.573
1970-01-01 12:36:21,-178.7824,-1.565
1970-01-01 12:36:31,-178.6597,-1.2817
1970-01-01 12:36:41,-178.951,-1.2819
1970-01-01 12:36:51,-178.7359,-1.3212
1970-01-01 12:37:01,-178.8462,-1.6148
1970-01-01 12:37:11,-178.4378,-1.6195
1970-01-01 12:37:21,-178.5564,-1.674
1970-01-01 12:37:31,-178.7787,-1.2792
1970-01-01 12:37:41,-178.7946,-1.3773
1970-01-01 12:37:51,-178.8344,-1.4566
1970-01-01 12:38:01,-178.7897,-1.4404
1970-01-01 12:38:11,-178.6651,-1.6825
1970-01-01 12:38:21,-178.6745,-1.2676
1970-01-01 12:38:31,-179.0132,-1.5087
1970-01-01 12:38:41,-178.5106,-1.6606
1970-01-01 12:38:51,-178.7372,-1.5493
1970-01-01 12:39:01,-178.8356,-1.4551
1970-01-01 12:39:11,-179.0162,-1.215
1970-01-01 12:39:21,-178.7257,-1.3319
1970-01-01 12:39:31,-178.4487,-1.321
1970-01-01 12:39:41,-178.5505,-1.449
1970-01-01 12:39:51,-178.8893,-1.3442
1970-01-01 12:40:01,-178.8368,-1.8023
1970-01-01 12:40:11,-179.1939,-1.8419
1970-01-01 12:40:21,-178.6758,-1.3814
1970-01-01 12:40:31,-178.6141,-1.4432
1970-01-01 12:40:41,-178.491,-1.2765
1970-01-01 12:40:51,-178.9552,-1.4507
1970-01-01 12:41:01,-178.7885,-1.5572
1970-01-01 12:41:11,-178.8415,-1.2741
1970-01-01 12:41:21,-178.6597,-1.2817
1970-01-01 12:41:31,-178.4849,-1.3981
